,title,lastrevid
0,Shahjahan Noori,1099689043.0
1,Abdul Ghafar Lakanwal,943562276.0
2,Majah Ha Adrif,852404094.0
3,Haroon al-Afghani,1095102390.0
4,Tayyab Agha,1104998382.0
5,Ahmadullah Wasiq,1109361754.0
6,Aziza Ahmadyar,1087211008.0
7,Muqadasa Ahmadzai,1082489593.0
8,Mohammad Sarwar Ahmedzai,1038918070.0
9,Amir Muhammad Akhundzada,1069322182.0
10,Nasrullah Baryalai Arsalai,1095526840.0
11,Mohammad Asim Asim,1013838830.0
12,Atiqullah Atifmal,1112407669.0
13,Abdul Rahim Ayoubi,1108886061.0
14,Alhaj Mutalib Baig,1111494041.0
15,Ismael Balkhi,1112534409.0
16,Abdul Baqi Turkistani,889226470.0
17,Mohammad Ghous Bashiri,1102150221.0
18,Abas Basir,1098419766.0
19,Jan Baz,997027082.0
20,Ahmad Behzad,1103948295.0
21,Bashir Ahmad Bezan,1060707209.0
22,Rafiullah Bidar,977208323.0
23,Mohammad Siddiq Chakari,1105913099.0
24,Cheragh Ali Cheragh,1087211968.0
25,Nasir Ahmad Durrani,988838315.0
26,Elay Ershad,1102489654.0
27,Muhammad Hashim Esmatullahi,949986748.0
28,Ezatullah (Nangarhar),947885788.0
29,Aimal Faizi,1033383351.0
30,Mohammad Nasim Faqiri,1098051193.0
31,Mohammad Nazar Faqiri,1095525798.0
32,Sharif Ghalib,1041460606.0
33,Hashmat Ghani Ahmadzai,1112933356.0
34,Abdul Ghani Ghani,1072441893.0
35,Ashraf Ghani,1113195582.0
36,Abdul Samad Ghaus,1072271854.0
37,Ghulam Ghaus,1115758710.0
38,Ghulam Muhammad Ghobar,1108886395.0
39,Mohammad Gul (Helmand Council),1092523687.0
40,Ghulam Haider Hamidi,1095018556.0
41,Rangina Hamidi,1104280812.0
42,Abdul Malik Hamwar,1100874645.0
43,Sayed Zafar Hashemi,1112804808.0
44,Qutbuddin Hilal,1104423275.0
45,Shahnaz Himmeti,909966254.0
46,Anarkali Kaur Honaryar,1069574154.0
47,Mahboba Hoqomal,1092518990.0
48,Musa Hotak,1094201417.0
49,Mirza Muhammad Ismail,1073524466.0
50,Sayed Jalal,1078580238.0
51,Said Tayeb Jawad,1093621927.0
52,Faizullah Kakar,1108932917.0
53,Amin Karim,1106333491.0
54,Sayed Jalal Karim,1060701067.0
55,Ahmed Wali Karzai,1090245979.0
56,Khadija Zahra Ahmadi,1115331693.0
57,Hafizullah Shabaz Khail,1092416288.0
58,Rouh Gul Khairzad,925562571.0
59,Masoud Khalili,1103105365.0
60,Mohammad Khan (athlete),1070779097.0
61,Samoud Khan,1010948755.0
62,Farzana Kochai,1079430136.0
63,Farida Kuchi,1109436134.0
64,Baran Khan Kudezai,1106151353.0
65,Azizullah Lodin,1102817004.0
66,Razaq Mamoon,1100189662.0
67,Fazel Ahmed Manawi,1106464575.0
68,Moeen Marastial,1102907176.0
69,Ahmad Massoud,1112608262.0
70,Ahmad Wali Massoud,1108236868.0
71,Mohammad Daud Miraki,1112192884.0
72,Abdul Sattar Mirzakwal,1044450376.0
