,lastrevid,prediction
0,1099689043,GA
1,943562276,Start
2,852404094,Start
3,1095102390,B
4,1104998382,Start
5,1109361754,Start
6,1087211008,Start
7,1082489593,Start
8,1038918070,Start
9,1069322182,Start
10,1095526840,Start
11,1013838830,Stub
12,1112407669,Start
13,1108886061,Start
14,1111494041,Start
15,1112534409,Start
16,889226470,Stub
17,1102150221,Start
18,1098419766,C
19,997027082,Stub
20,1103948295,Start
21,1060707209,Start
22,977208323,Stub
23,1105913099,Stub
24,1087211968,Start
25,988838315,Stub
26,1102489654,Stub
27,949986748,Stub
28,947885788,Stub
29,1033383351,Stub
30,1098051193,Start
31,1095525798,Stub
32,1041460606,B
33,1112933356,C
34,1072441893,Stub
35,1113195582,B
36,1072271854,Stub
37,1109361872,Stub
38,1108886395,Stub
39,1092523687,Stub
40,1095018556,Start
41,1104280812,C
42,1100874645,Stub
43,1112804808,Start
44,1104423275,Start
45,909966254,Stub
46,1069574154,Start
47,1092518990,Stub
48,1094201417,Start
49,1073524466,C
50,1078580238,Start
51,1093621927,C
52,1108932917,C
53,1106333491,C
54,1060701067,Start
55,1090245979,GA
56,1115331693,Stub
57,1092416288,Start
58,925562571,Stub
59,1103105365,GA
60,1070779097,Stub
61,1010948755,Start
62,1079430136,Stub
63,1109436134,Start
64,1106151353,Start
65,1102817004,Start
66,1100189662,Start
67,1106464575,Stub
68,1102907176,Start
69,1112608262,C
70,1108236868,Start
71,1112192884,C
72,1044450376,Stub
73,1052669338,Stub
74,1050463798,Stub
75,1095044526,Start
76,1106284627,Stub
77,1104635001,Start
78,1113267490,C
79,1112496538,Start
80,1038680015,Stub
81,1110983467,Start
82,916899472,Stub
83,1111494390,C
84,1107279930,Start
85,1093612575,Stub
86,1001786762,Start
87,996093541,Stub
88,1097277701,Start
89,1093963498,Stub
90,918256992,Stub
91,987269301,Stub
92,994195074,Stub
93,1115022704,FA
94,889806024,Stub
95,1098092701,Stub
96,1019860497,Stub
97,1079170926,Start
98,1115496635,Stub
99,1095559301,Stub
100,1102910228,Start
101,1096574840,C
102,1111917754,Stub
103,1115100619,Stub
104,1060706902,Stub
105,1106885861,C
106,1021308429,Start
107,1107429109,GA
108,1020846299,Stub
109,1111508295,C
110,1060707715,Start
111,1092426408,Stub
112,1106388504,GA
113,1097261199,Stub
114,1108389318,Start
115,1095799892,Start
116,1033608758,Start
117,994023417,Stub
118,1114426634,GA
119,949182924,Start
120,994501003,Stub
121,1091800566,Start
122,1094050369,Start
123,1110580984,C
124,1106794267,Stub
125,1107876476,C
126,1098235893,Start
127,1067080697,C
128,1087272778,Start
129,1061419179,Start
130,1095178618,Start
131,1114418989,Start
132,1087026828,Start
133,1104589367,Stub
134,1101365003,Start
135,1079550815,Start
136,1108975040,Start
137,1112281152,C
138,1114424802,Stub
139,1067061654,Stub
140,1101927317,C
141,1092914547,GA
142,1114425909,B
143,1073827690,Start
144,1089008480,Start
145,1015553118,Stub
146,1099714241,C
147,1105835401,C
148,1095879069,C
149,1104696112,GA
150,1095286065,Stub
151,1107096289,C
152,993288548,Stub
153,998414015,Stub
154,979382854,Stub
155,1098236555,Stub
156,1053849574,Start
157,1069956844,C
158,1114971095,C
159,1098232331,Start
160,1071577370,C
161,919356105,Start
162,1095185542,Start
163,1110511667,Start
164,1106794268,Stub
165,1113466121,Start
166,1112281132,Stub
167,1080104315,Start
168,1071576324,Stub
169,1114419158,C
170,1112281218,Start
171,1108640753,Stub
172,1111101481,Start
173,1085455681,GA
174,1091483288,Stub
175,1114419169,Stub
176,1112281129,Start
177,1074384873,Start
178,1114419178,Start
179,1080373501,C
180,1071576384,Stub
181,1115424613,Start
182,1114419180,Start
183,1113688253,C
184,1089622596,C
185,978173646,Stub
186,1090651886,Start
187,1002857261,Stub
188,1090001664,B
189,1110419834,Start
190,1089358942,Stub
191,1114899959,GA
192,1107079359,Start
193,1091240960,Stub
194,1073823015,Start
195,1109383587,Start
196,1115321286,C
197,1036757024,Stub
198,1075914314,Stub
199,1106753028,Start
200,1071577719,GA
201,1112193748,Stub
202,1059626268,Stub
203,1079379844,Stub
204,1053461392,Stub
205,1099284595,Stub
206,1111537825,Stub
207,1107713309,Stub
208,1102331624,Start
209,1091746754,Stub
210,1064464792,Stub
211,1064463751,Stub
212,1064459314,Stub
213,1053464158,Stub
214,1104123484,Start
215,1053459025,Stub
216,1053460621,Stub
217,1072064909,Stub
218,1112131049,Stub
219,1019766063,Start
220,1098798192,C
221,1110540602,Stub
222,1028900906,Stub
223,1088927932,Stub
224,1102198843,Stub
225,1053469601,Stub
226,1053478920,Stub
227,1053469610,Stub
228,1053459748,Stub
229,1053461924,Stub
230,1028900891,Stub
231,1009461580,Stub
232,1031600815,Start
233,1053461144,Stub
234,1113203380,Stub
235,1100710928,FA
236,1101200095,Stub
237,1105550472,Stub
238,1102180575,Stub
239,1104772844,Stub
240,1102731108,Stub
241,1100253414,Start
242,1105529195,C
243,1114575861,GA
244,986671433,Stub
245,979043156,Stub
246,1087791055,Stub
247,1098277989,Start
248,1108136082,Start
249,1082903108,Stub
250,1092527809,Stub
251,871672690,Stub
252,1081277226,C
253,1101656146,Start
254,1111470901,Stub
255,1076646666,Start
256,987997249,Start
257,1107102259,Stub
258,1081302172,Start
