,article_title,country,lastrevid,article_quality,population,Region
0,Shahjahan Noori,Afghanistan,1099689043.0,GA,41.1,SOUTH ASIA
1,Abdul Ghafar Lakanwal,Afghanistan,943562276.0,Start,41.1,SOUTH ASIA
2,Majah Ha Adrif,Afghanistan,852404094.0,Start,41.1,SOUTH ASIA
3,Haroon al-Afghani,Afghanistan,1095102390.0,B,41.1,SOUTH ASIA
4,Tayyab Agha,Afghanistan,1104998382.0,Start,41.1,SOUTH ASIA
5,Ahmadullah Wasiq,Afghanistan,1109361754.0,Start,41.1,SOUTH ASIA
6,Aziza Ahmadyar,Afghanistan,1087211008.0,Start,41.1,SOUTH ASIA
7,Muqadasa Ahmadzai,Afghanistan,1082489593.0,Start,41.1,SOUTH ASIA
8,Mohammad Sarwar Ahmedzai,Afghanistan,1038918070.0,Start,41.1,SOUTH ASIA
9,Amir Muhammad Akhundzada,Afghanistan,1069322182.0,Start,41.1,SOUTH ASIA
10,Nasrullah Baryalai Arsalai,Afghanistan,1095526840.0,Start,41.1,SOUTH ASIA
11,Mohammad Asim Asim,Afghanistan,1013838830.0,Stub,41.1,SOUTH ASIA
12,Atiqullah Atifmal,Afghanistan,1112407669.0,Start,41.1,SOUTH ASIA
13,Abdul Rahim Ayoubi,Afghanistan,1108886061.0,Start,41.1,SOUTH ASIA
14,Alhaj Mutalib Baig,Afghanistan,1111494041.0,Start,41.1,SOUTH ASIA
15,Ismael Balkhi,Afghanistan,1112534409.0,Start,41.1,SOUTH ASIA
16,Abdul Baqi Turkistani,Afghanistan,889226470.0,Stub,41.1,SOUTH ASIA
17,Mohammad Ghous Bashiri,Afghanistan,1102150221.0,Start,41.1,SOUTH ASIA
18,Abas Basir,Afghanistan,1098419766.0,C,41.1,SOUTH ASIA
19,Jan Baz,Afghanistan,997027082.0,Stub,41.1,SOUTH ASIA
20,Ahmad Behzad,Afghanistan,1103948295.0,Start,41.1,SOUTH ASIA
21,Bashir Ahmad Bezan,Afghanistan,1060707209.0,Start,41.1,SOUTH ASIA
22,Rafiullah Bidar,Afghanistan,977208323.0,Stub,41.1,SOUTH ASIA
23,Mohammad Siddiq Chakari,Afghanistan,1105913099.0,Stub,41.1,SOUTH ASIA
24,Cheragh Ali Cheragh,Afghanistan,1087211968.0,Start,41.1,SOUTH ASIA
25,Nasir Ahmad Durrani,Afghanistan,988838315.0,Stub,41.1,SOUTH ASIA
26,Elay Ershad,Afghanistan,1102489654.0,Stub,41.1,SOUTH ASIA
27,Muhammad Hashim Esmatullahi,Afghanistan,949986748.0,Stub,41.1,SOUTH ASIA
28,Ezatullah (Nangarhar),Afghanistan,947885788.0,Stub,41.1,SOUTH ASIA
29,Aimal Faizi,Afghanistan,1033383351.0,Stub,41.1,SOUTH ASIA
30,Mohammad Nasim Faqiri,Afghanistan,1098051193.0,Start,41.1,SOUTH ASIA
31,Mohammad Nazar Faqiri,Afghanistan,1095525798.0,Stub,41.1,SOUTH ASIA
32,Sharif Ghalib,Afghanistan,1041460606.0,B,41.1,SOUTH ASIA
33,Hashmat Ghani Ahmadzai,Afghanistan,1112933356.0,C,41.1,SOUTH ASIA
34,Abdul Ghani Ghani,Afghanistan,1072441893.0,Stub,41.1,SOUTH ASIA
35,Ashraf Ghani,Afghanistan,1113195582.0,B,41.1,SOUTH ASIA
36,Abdul Samad Ghaus,Afghanistan,1072271854.0,Stub,41.1,SOUTH ASIA
37,Ghulam Ghaus,Afghanistan,1109361872.0,Stub,41.1,SOUTH ASIA
38,Ghulam Muhammad Ghobar,Afghanistan,1108886395.0,Stub,41.1,SOUTH ASIA
39,Mohammad Gul (Helmand Council),Afghanistan,1092523687.0,Stub,41.1,SOUTH ASIA
40,Ghulam Haider Hamidi,Afghanistan,1095018556.0,Start,41.1,SOUTH ASIA
41,Rangina Hamidi,Afghanistan,1104280812.0,C,41.1,SOUTH ASIA
42,Abdul Malik Hamwar,Afghanistan,1100874645.0,Stub,41.1,SOUTH ASIA
43,Sayed Zafar Hashemi,Afghanistan,1112804808.0,Start,41.1,SOUTH ASIA
44,Qutbuddin Hilal,Afghanistan,1104423275.0,Start,41.1,SOUTH ASIA
45,Shahnaz Himmeti,Afghanistan,909966254.0,Stub,41.1,SOUTH ASIA
46,Anarkali Kaur Honaryar,Afghanistan,1069574154.0,Start,41.1,SOUTH ASIA
47,Mahboba Hoqomal,Afghanistan,1092518990.0,Stub,41.1,SOUTH ASIA
48,Musa Hotak,Afghanistan,1094201417.0,Start,41.1,SOUTH ASIA
49,Mirza Muhammad Ismail,Afghanistan,1073524466.0,C,41.1,SOUTH ASIA
50,Sayed Jalal,Afghanistan,1078580238.0,Start,41.1,SOUTH ASIA
51,Said Tayeb Jawad,Afghanistan,1093621927.0,C,41.1,SOUTH ASIA
52,Faizullah Kakar,Afghanistan,1108932917.0,C,41.1,SOUTH ASIA
53,Amin Karim,Afghanistan,1106333491.0,C,41.1,SOUTH ASIA
54,Sayed Jalal Karim,Afghanistan,1060701067.0,Start,41.1,SOUTH ASIA
55,Ahmed Wali Karzai,Afghanistan,1090245979.0,GA,41.1,SOUTH ASIA
56,Khadija Zahra Ahmadi,Afghanistan,1115331693.0,Stub,41.1,SOUTH ASIA
57,Hafizullah Shabaz Khail,Afghanistan,1092416288.0,Start,41.1,SOUTH ASIA
58,Rouh Gul Khairzad,Afghanistan,925562571.0,Stub,41.1,SOUTH ASIA
59,Masoud Khalili,Afghanistan,1103105365.0,GA,41.1,SOUTH ASIA
60,Mohammad Khan (athlete),Afghanistan,1070779097.0,Stub,41.1,SOUTH ASIA
